"file","caption","category","png_time","StartTime"
"bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio1B_len_at_age_matrix_1.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 1","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio1B_len_at_age_matrix_2.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 2","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio1B_len_at_age_matrix_3.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 1","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio1B_len_at_age_matrix_4.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 2","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio5_weightatsize.png","Weight-length relationship","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio6_maturity.png","Maturity at age","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio7_fecundity.png","Fecundity","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio8_fecundity_wt.png","Fecundity as a function of weight","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio9_fecundity_len.png","Fecundity as a function of length","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio10_spawningoutput_len.png","Spawning output at length. This is the product of maturity and fecundity unless maturity is age-based, in which case only fecundity is represented.","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"bio11_spawningoutput_age.png","Spawning output at age. This is the product of maturity and fecundity. When these processes are length-based they are converted into the age dimension using the matrix of length at age.","Bio",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"sel02_multiple_fleets_age1.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"sel03_len_timevary_surf_flt1sex1.png","Surface plot of Female time-varying selectivity for commercial trawl","Sel",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"sel04_len_timevary_contour_flt1sex1.png","Countour plot of Female time-varying selectivity for commercial trawl","Sel",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
"sel05_timevary_ret_surf_flt1sex1.png","Surface plot of Female time-varying retention for commercial trawl","Sel",2021-06-12 20:46:48,"StartTime: Sat Jun 12 17:30:05 2021"
